title,url,time_added,tags,status,content
http://lifehacker.com/5875516/the-best-ereader-for-android,http://lifehacker.com/5875516/the-best-ereader-for-android,1418337975,,unread,
Fisher–Yates Shuffle,https://bost.ocks.org/mike/shuffle/,1637079122,javascript,unread,
Edge.org,https://www.edge.org/responses/what-is-your-favorite-deep-elegant-or-beautiful-explanation,1655741826,,unread,
MyOpenMath,https://www.myopenmath.com/,1663833739,,unread,
Winsor McCay - Wikipedia,https://it.wikipedia.org/wiki/Winsor_McCay,1673123126,,unread,
https://nlp.stanford.edu/IR-book/pdf/13bayes.pdf,https://nlp.stanford.edu/IR-book/pdf/13bayes.pdf,1512997691,,unread,
"2. Hello, World",http://www.python.it/doc/Easytut/easytut-it/node4.html#SECTION004100000000000000000,1472833719,python,unread,
otrs.com| OTRS Simple Service Management,http://www.otrs.com/,1449743002,lavoro,unread,
The Scale of the Universe 2,https://htwins.net/scale2/,1661252292,,unread,
javascript - Why does an onclick property set with setAttribute fail to wor,https://stackoverflow.com/questions/95731/why-does-an-onclick-property-set-with-setattribute-fail-to-work-in-ie,1661834673,,unread,
